AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4284.615234,4006.666504,4087.692139,4081.53833,4169.230469,4155.897461,4246.153809,4178.461426,4141.538574,4199.487305,4035.384521,4151.794922,3933.333252,3916.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5
4269.743652,4006.666504,4091.794678,4079.487061,4167.692383,4159.487305,4245.12793,4180.512695,4145.641113,4199.487305,4044.615234,4148.717773,3940.512695,3911.794678,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4248.717773,3988.717773,4093.845947,4077.94873,4152.307617,4153.846191,4240,4169.743652,4140.512695,4197.436035,4044.615234,4136.410156,3941.025635,3908.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4245.641113,3978.461426,4077.94873,4079.487061,4139.487305,4146.666504,4234.358887,4159.487305,4132.307617,4195.384277,4043.5896,4129.743652,3936.410156,3920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4241.025391,3991.281982,4086.666504,4088.205078,4156.410156,4162.05127,4246.666504,4179.487305,4146.666504,4208.717773,4067.692139,4151.281738,3960.512695,3935.384521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4237.436035,3996.923096,4097.436035,4091.281982,4173.333008,4174.358887,4250.769043,4193.333008,4157.436035,4204.615234,4082.05127,4169.743652,3984.615234,3932.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4247.692383,3986.153809,4080,4086.666504,4168.205078,4155.897461,4237.436035,4180.512695,4144.102539,4188.205078,4065.128174,4162.05127,3982.05127,3926.153809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4253.846191,3984.102539,4071.794678,4091.281982,4170.256348,4153.333008,4238.461426,4180.512695,4138.461426,4203.589844,4067.692139,4160,3995.384521,3924.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4235.897461,3980.512695,4081.53833,4093.845947,4163.589844,4175.897461,4242.563965,4184.102539,4141.538574,4208.717773,4081.025635,4157.436035,4017.94873,3916.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4215.897461,3969.743408,4083.5896,4086.666504,4144.102539,4164.615234,4233.333008,4170.769043,4132.307617,4177.94873,4071.281982,4141.025391,4009.743408,3903.5896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
