AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4083.076904,4075.897217,4046.153809,4055.897217,4122.05127,4082.563965,4079.487061,4069.230713,4048.717773,4103.07666,4101.025391,4104.615234,4054.871582,4171.794922,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,2
4069.743408,4070.769043,4043.5896,4052.307617,4118.461426,4080,4070.256348,4051.281982,4032.820313,4099.487305,4090.769043,4095.384521,4040,4164.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4082.563965,4095.384521,4053.333252,4093.845947,4135.384277,4101.538574,4090.769043,4077.435791,4057.94873,4112.307617,4110.769043,4112.307617,4073.845947,4193.333008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4062.563965,4065.128174,4032.820313,4060.512695,4108.205078,4075.897217,4064.102539,4052.820313,4026.666504,4083.076904,4073.845947,4082.05127,4011.281982,4149.230469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4093.845947,4088.205078,4054.358887,4076.923096,4133.333008,4098.461426,4089.743408,4082.05127,4056.410156,4107.692383,4102.05127,4110.769043,4048.205078,4177.436035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4095.384521,4087.179443,4055.384521,4082.05127,4131.794922,4095.897217,4087.692139,4093.845947,4073.333252,4117.436035,4118.974121,4117.94873,4089.230713,4195.384277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4083.5896,4075.897217,4047.179443,4072.307617,4120.512695,4081.025635,4076.410156,4082.05127,4060.512695,4110.769043,4105.12793,4103.589844,4069.743408,4176.922852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4111.794922,4110.256348,4065.640869,4104.102539,4148.717773,4110.769043,4102.563965,4111.281738,4101.538574,4133.846191,4140.512695,4134.871582,4125.12793,4214.871582,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4092.307617,4087.692139,4044.615234,4074.358887,4128.717773,4092.307617,4077.94873,4081.53833,4070.769043,4110.769043,4110.256348,4105.641113,4083.076904,4184.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4104.615234,4098.461426,4058.461426,4092.820313,4142.05127,4101.538574,4100.512695,4098.974121,4081.53833,4120.512695,4122.05127,4119.487305,4098.974121,4196.922852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4103.589844,4101.538574,4062.563965,4097.94873,4141.538574,4098.461426,4100,4100,4087.179443,4118.974121,4132.307617,4128.717773,4122.05127,4207.692383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4099.487305,4088.717773,4055.897217,4082.563965,4126.153809,4087.692139,4081.025635,4069.230713,4058.461426,4104.102539,4107.179199,4111.794922,4083.076904,4189.230469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4137.436035,4116.922852,4082.05127,4124.615234,4148.205078,4116.410156,4111.281738,4108.717773,4105.641113,4130.769043,4151.281738,4146.153809,4154.358887,4237.436035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4101.538574,4089.230713,4055.897217,4091.281982,4128.717773,4087.179443,4083.076904,4087.179443,4080.512695,4111.281738,4131.281738,4118.974121,4130.769043,4204.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4100,4102.563965,4054.358887,4087.692139,4147.179199,4097.436035,4091.794678,4091.281982,4080.512695,4123.589844,4130.769043,4122.563965,4118.974121,4204.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4117.436035,4113.333008,4066.153809,4099.487305,4150.256348,4111.794922,4103.07666,4111.281738,4108.205078,4135.384277,4147.692383,4136.410156,4144.102539,4227.692383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4104.102539,4086.153809,4059.487061,4080.512695,4124.615234,4089.743408,4085.128174,4089.743408,4085.640869,4112.820313,4124.102539,4111.794922,4109.743652,4201.025391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4113.846191,4106.153809,4069.230713,4103.07666,4149.743652,4105.12793,4102.563965,4107.692383,4105.641113,4128.717773,4143.589844,4131.281738,4141.538574,4223.07666,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4086.153809,4081.53833,4044.615234,4067.692139,4128.205078,4084.102539,4069.230713,4078.461426,4071.281982,4108.205078,4110.256348,4106.153809,4085.640869,4187.692383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4101.538574,4082.563965,4052.820313,4072.820313,4127.692383,4092.307617,4082.05127,4083.5896,4071.281982,4113.333008,4114.871582,4110.256348,4083.5896,4191.281738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4112.307617,4093.333252,4065.128174,4092.820313,4138.461426,4102.563965,4097.94873,4098.461426,4097.436035,4123.589844,4134.358887,4122.05127,4125.12793,4214.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
