AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4196.922852,4169.743652,4184.615234,4195.384277,4158.461426,4161.025391,4166.666504,4142.563965,4132.307617,4144.615234,4092.820313,4156.410156,4143.07666,4182.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,2
4187.692383,4160.512695,4182.05127,4188.205078,4152.820313,4155.384277,4161.025391,4142.563965,4140.512695,4150.256348,4089.230713,4150.256348,4142.05127,4174.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4184.102539,4159.487305,4173.846191,4184.615234,4152.307617,4151.281738,4157.94873,4151.281738,4151.281738,4158.461426,4089.230713,4156.922852,4141.538574,4169.230469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4191.281738,4162.563965,4178.461426,4189.230469,4155.897461,4151.794922,4160.512695,4157.94873,4154.358887,4168.717773,4095.384521,4164.615234,4153.846191,4182.05127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4182.05127,4156.922852,4178.461426,4187.179199,4153.846191,4151.281738,4157.436035,4156.922852,4161.538574,4173.333008,4096.922852,4161.538574,4160.512695,4177.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4167.692383,4154.871582,4170.769043,4181.025391,4151.281738,4144.615234,4154.358887,4156.922852,4167.692383,4170.256348,4092.820313,4156.922852,4149.743652,4170.256348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4172.820313,4154.358887,4172.307617,4181.538574,4153.333008,4138.461426,4157.94873,4161.025391,4160,4168.205078,4092.307617,4156.922852,4144.102539,4174.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4177.94873,4151.281738,4171.794922,4182.05127,4154.871582,4145.12793,4164.102539,4160,4153.333008,4170.769043,4091.794678,4156.922852,4150.256348,4173.846191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4170.769043,4156.922852,4172.820313,4177.94873,4153.333008,4150.769043,4172.307617,4158.974121,4145.641113,4159.487305,4082.05127,4159.487305,4147.179199,4174.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4171.794922,4155.384277,4173.846191,4172.820313,4146.666504,4144.615234,4171.794922,4153.846191,4127.179199,4140,4071.281982,4158.461426,4138.974121,4170.769043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
