AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4218.974121,4147.692383,4212.820313,4278.974121,4199.487305,4151.281738,4161.025391,4194.871582,4174.871582,4177.436035,4269.743652,4442.05127,4344.615234,4278.461426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5
4233.333008,4171.794922,4215.384277,4270.256348,4204.102539,4143.589844,4150.256348,4173.846191,4149.743652,4178.461426,4273.333008,4437.435547,4349.230469,4288.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4222.563965,4181.025391,4210.769043,4256.922852,4192.820313,4148.717773,4152.307617,4170.256348,4138.974121,4177.94873,4257.94873,4431.794922,4362.563965,4286.153809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4190.769043,4157.94873,4202.05127,4257.94873,4176.922852,4154.871582,4155.897461,4182.05127,4152.307617,4122.05127,4238.461426,4419.487305,4353.333008,4265.12793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4200.512695,4154.358887,4203.589844,4266.666504,4185.641113,4149.743652,4144.102539,4175.384277,4155.897461,4088.205078,4235.897461,4418.461426,4340,4264.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4224.615234,4185.641113,4203.07666,4257.94873,4199.487305,4143.589844,4133.846191,4168.717773,4153.333008,4136.410156,4243.589844,4424.102539,4355.897461,4282.05127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4200.512695,4197.94873,4186.666504,4233.333008,4193.333008,4153.333008,4140.512695,4184.102539,4163.589844,4181.025391,4255.384277,4414.871582,4384.102539,4274.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4166.153809,4186.666504,4174.871582,4224.615234,4182.563965,4152.307617,4146.666504,4188.205078,4177.436035,4177.436035,4257.94873,4401.538574,4393.333008,4249.230469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4167.692383,4191.281738,4181.025391,4234.358887,4184.615234,4136.410156,4138.974121,4172.820313,4184.102539,4155.897461,4227.692383,4392.820313,4377.94873,4237.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4179.487305,4216.410156,4183.589844,4233.846191,4193.333008,4138.461426,4130.256348,4169.743652,4194.358887,4130.256348,4202.05127,4382.563965,4370.256348,4241.538574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4174.358887,4228.717773,4176.410156,4219.487305,4199.487305,4144.102539,4127.179199,4174.358887,4182.563965,4117.436035,4213.846191,4376.922852,4380.512695,4241.538574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4175.384277,4236.922852,4177.436035,4220,4204.102539,4136.410156,4124.615234,4163.589844,4144.615234,4127.179199,4229.230469,4384.102539,4380.512695,4245.12793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4171.794922,4243.07666,4167.692383,4219.487305,4200.512695,4142.05127,4122.05127,4149.743652,4147.692383,4120.512695,4206.153809,4370.256348,4360.512695,4237.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
