AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4120,4160.512695,4165.12793,4154.871582,4167.179199,4151.281738,4154.358887,4162.05127,4132.307617,4160.512695,4150.256348,4124.102539,4147.692383,4151.281738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,2
4120.512695,4157.94873,4163.07666,4152.307617,4153.846191,4139.487305,4155.384277,4157.94873,4120,4150.256348,4138.461426,4124.615234,4138.461426,4153.846191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4128.205078,4152.307617,4168.717773,4157.436035,4158.461426,4137.94873,4153.333008,4158.974121,4123.07666,4154.358887,4148.205078,4132.820313,4142.563965,4156.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4144.102539,4155.897461,4172.820313,4167.692383,4171.281738,4149.743652,4154.871582,4169.230469,4136.922852,4165.12793,4158.461426,4142.563965,4151.794922,4163.589844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4160,4166.666504,4172.820313,4170.769043,4171.794922,4153.333008,4158.974121,4173.846191,4142.05127,4170.256348,4156.410156,4140,4158.461426,4172.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4155.897461,4164.102539,4167.179199,4162.563965,4162.563965,4148.717773,4155.897461,4165.12793,4142.563965,4170.256348,4155.384277,4133.846191,4159.487305,4176.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4144.102539,4153.333008,4163.589844,4156.922852,4156.410156,4152.307617,4153.333008,4161.538574,4142.563965,4167.179199,4148.717773,4134.358887,4150.769043,4174.871582,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4156.922852,4164.102539,4164.615234,4168.205078,4161.538574,4152.307617,4150.256348,4160,4139.487305,4165.641113,4143.589844,4134.358887,4148.205078,4168.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4187.692383,4188.717773,4177.94873,4184.102539,4169.743652,4141.538574,4143.07666,4157.436035,4136.922852,4168.717773,4151.281738,4141.025391,4165.12793,4181.538574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4193.846191,4190.256348,4189.743652,4188.205078,4170.769043,4142.05127,4144.102539,4154.871582,4138.974121,4170.769043,4155.897461,4147.692383,4178.461426,4191.794922,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4180,4184.615234,4184.102539,4178.974121,4168.717773,4149.230469,4148.717773,4146.153809,4134.358887,4165.12793,4152.307617,4142.05127,4176.410156,4183.589844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4179.487305,4190.256348,4187.692383,4173.333008,4170.256348,4148.205078,4150.256348,4146.666504,4129.743652,4161.538574,4154.871582,4142.05127,4172.307617,4186.666504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4187.692383,4184.615234,4195.897461,4177.94873,4170.769043,4149.230469,4153.333008,4159.487305,4134.871582,4167.179199,4159.487305,4150.769043,4171.281738,4184.615234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4184.102539,4182.563965,4193.333008,4182.563965,4170.769043,4155.384277,4157.436035,4166.153809,4143.07666,4169.743652,4163.589844,4152.820313,4173.846191,4177.94873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4175.897461,4193.846191,4189.743652,4182.05127,4169.230469,4154.871582,4157.436035,4169.743652,4153.333008,4171.281738,4176.922852,4156.922852,4182.563965,4181.025391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4173.333008,4194.871582,4187.692383,4180,4168.717773,4151.794922,4154.358887,4173.846191,4159.487305,4182.563965,4183.589844,4165.641113,4192.820313,4185.641113,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4173.846191,4183.07666,4188.717773,4181.025391,4173.846191,4156.922852,4152.820313,4177.94873,4159.487305,4187.692383,4176.922852,4167.179199,4191.794922,4186.153809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4167.692383,4173.333008,4183.589844,4177.436035,4172.307617,4153.333008,4150.256348,4171.281738,4155.384277,4173.846191,4166.666504,4157.94873,4180,4172.820313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4161.538574,4173.333008,4182.05127,4173.333008,4166.666504,4142.563965,4145.641113,4160.512695,4147.692383,4165.641113,4168.717773,4157.94873,4183.589844,4175.384277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4155.897461,4170.769043,4179.487305,4172.307617,4169.743652,4146.153809,4145.641113,4155.384277,4140.512695,4170.256348,4177.94873,4165.12793,4200,4182.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4154.871582,4165.641113,4167.692383,4170.769043,4173.846191,4152.820313,4145.12793,4155.384277,4136.410156,4170.769043,4177.94873,4158.974121,4204.615234,4172.820313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4156.922852,4169.743652,4166.666504,4170.256348,4169.743652,4144.102539,4141.538574,4157.436035,4134.871582,4165.12793,4171.281738,4149.743652,4197.436035,4168.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4143.07666,4166.153809,4164.102539,4166.153809,4166.153809,4140,4144.102539,4161.025391,4142.05127,4166.153809,4168.717773,4144.615234,4190.256348,4162.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4129.230469,4153.333008,4157.436035,4167.179199,4168.205078,4151.794922,4149.230469,4167.692383,4154.871582,4172.307617,4172.307617,4143.589844,4187.179199,4158.974121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4143.589844,4158.974121,4160,4171.794922,4166.666504,4154.871582,4151.794922,4171.281738,4157.94873,4174.358887,4171.281738,4147.692383,4193.333008,4167.692383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4156.922852,4167.692383,4158.461426,4171.794922,4165.641113,4150.769043,4149.743652,4165.641113,4155.384277,4178.461426,4168.717773,4149.743652,4202.05127,4169.743652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4146.153809,4161.025391,4156.922852,4170.256348,4168.205078,4152.820313,4146.153809,4163.07666,4158.974121,4180,4169.230469,4146.666504,4195.897461,4167.179199,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4136.922852,4160.512695,4158.974121,4170.769043,4167.692383,4152.820313,4140.512695,4160.512695,4154.358887,4173.333008,4164.615234,4144.102539,4185.641113,4160.512695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
