AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4094.871582,4075.384521,4164.102539,4137.436035,4125.12793,4150.769043,4143.07666,4109.230469,4120,4149.743652,4120.512695,4118.974121,3969.743408,3996.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5
4153.333008,4098.461426,4168.717773,4160.512695,4145.12793,4157.94873,4158.461426,4138.461426,4153.846191,4187.179199,4157.94873,4146.666504,4000.512695,4021.53833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4177.436035,4100,4162.563965,4162.05127,4165.641113,4170.769043,4166.666504,4149.230469,4173.846191,4202.05127,4175.384277,4160.512695,4007.179443,4027.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4147.179199,4086.666504,4156.410156,4155.384277,4158.974121,4177.436035,4165.12793,4137.436035,4155.384277,4187.692383,4163.07666,4155.897461,3995.897217,4015.897217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4158.461426,4095.897217,4168.717773,4171.281738,4154.358887,4175.897461,4172.307617,4145.641113,4156.922852,4197.436035,4171.794922,4152.820313,4005.128174,4028.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4147.692383,4080.512695,4153.846191,4158.974121,4140,4155.384277,4156.410156,4130.256348,4150.769043,4183.07666,4164.102539,4120.512695,3989.230713,4023.076904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4101.538574,4053.845947,4132.307617,4140,4140,4167.179199,4149.743652,4108.717773,4128.717773,4147.179199,4141.025391,4096.922852,3964.615234,4001.025635,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4136.410156,4077.94873,4151.794922,4166.153809,4167.179199,4194.871582,4182.563965,4147.179199,4161.538574,4189.230469,4173.333008,4131.794922,4004.102539,4026.153809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4187.692383,4094.358887,4158.461426,4177.436035,4154.358887,4158.461426,4181.538574,4171.281738,4190.769043,4233.846191,4200,4146.153809,4038.461426,4056.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4145.641113,4063.5896,4137.436035,4152.307617,4119.487305,4126.666504,4150.769043,4133.846191,4157.94873,4193.846191,4164.615234,4113.333008,4008.205078,4032.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4109.743652,4048.717773,4131.794922,4145.12793,4123.07666,4152.820313,4150.769043,4116.922852,4140,4162.05127,4148.205078,4106.153809,3994.871582,4008.717773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4136.922852,4064.102539,4139.487305,4158.461426,4142.05127,4161.025391,4163.07666,4138.461426,4156.922852,4178.461426,4164.615234,4126.153809,4012.307617,4022.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4147.692383,4073.333252,4144.102539,4167.179199,4145.641113,4155.897461,4165.12793,4152.820313,4169.743652,4207.692383,4174.871582,4138.974121,4018.974365,4034.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4129.743652,4066.666504,4138.461426,4163.07666,4132.307617,4163.589844,4163.589844,4147.692383,4168.717773,4219.487305,4191.281738,4135.897461,4026.153809,4032.307617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4115.897461,4053.845947,4133.333008,4153.333008,4126.666504,4157.436035,4158.461426,4139.487305,4156.410156,4198.974121,4191.281738,4129.230469,4032.820313,4028.205078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4118.974121,4054.358887,4148.717773,4158.974121,4142.563965,4152.820313,4158.974121,4140.512695,4153.333008,4191.794922,4173.846191,4137.436035,4030.256348,4021.53833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4148.205078,4065.640869,4157.94873,4175.384277,4153.846191,4168.717773,4166.666504,4151.794922,4175.384277,4223.589844,4195.897461,4155.384277,4042.05127,4029.230713,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
