AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,Marker,MarkerH
4160,4186.666504,4168.717773,4162.563965,4110.256348,4152.820313,4192.307617,3935.897461,7677.435547,4187.179199,4229.230469,4138.974121,4196.410156,4093.333252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5
4117.94873,4150.256348,4120.512695,4140.512695,4070.769043,4111.281738,4144.102539,3891.281982,7394.871582,4134.358887,4184.102539,4087.692139,4156.410156,4044.102539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4175.384277,4236.922852,4177.436035,4177.436035,4138.974121,4160.512695,4195.897461,3946.153809,7400,4181.025391,4235.897461,4144.102539,4211.794922,4096.410156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4156.922852,4242.563965,4161.538574,4160,4117.436035,4143.07666,4174.358887,3941.53833,7436.922852,4170.769043,4229.230469,4128.717773,4199.487305,4082.563965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4157.436035,4249.743652,4158.461426,4162.563965,4116.410156,4145.641113,4173.333008,3941.53833,7452.307617,4184.102539,4223.589844,4121.538574,4206.153809,4082.05127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4148.717773,4242.05127,4148.717773,4153.846191,4107.179199,4130.769043,4160.512695,3942.05127,7430.256348,4185.641113,4207.692383,4113.846191,4189.230469,4067.179443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4128.717773,4223.589844,4128.205078,4135.384277,4070.256348,4109.230469,4133.846191,3926.153809,7365.12793,4148.717773,4188.205078,4092.820313,4155.384277,4038.461426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4232.307617,4346.153809,4241.025391,4203.589844,4173.333008,4210.256348,4238.461426,4030.256348,7388.205078,4260,4288.205078,4202.05127,4274.358887,4149.743652,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4216.410156,4341.025391,4228.717773,4191.281738,4163.589844,4191.794922,4227.692383,4026.666504,7430.256348,4256.410156,4282.05127,4193.333008,4266.153809,4141.538574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
4178.461426,4304.615234,4183.589844,4169.743652,4125.12793,4144.102539,4186.153809,3985.128174,7407.179199,4200.512695,4242.563965,4148.205078,4214.871582,4094.358887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
